@RELATION wfshell

@ATTRIBUTE crashtime  DATE "yyyy-MM-dd HH:mm:ss"
@ATTRIBUTE crashcount   NUMERIC

@DATA
"2023-11-26 14:07:00","1"
"2023-11-26 15:07:00","1"
"2023-11-26 16:07:00","1"
"2023-11-26 17:07:00","1"
"2023-11-26 18:07:00","1"
"2023-11-26 19:07:00","92"
"2023-11-26 20:07:00","1"
"2023-11-26 21:07:00","4"
"2023-11-26 22:07:00","1"
"2023-11-26 23:07:00","1"
"2023-11-27 00:07:00","1"
"2023-11-27 01:07:00","1"
"2023-11-27 02:07:00","1"
"2023-11-27 03:07:00","1"
"2023-11-27 04:07:00","1"
"2023-11-27 05:07:00","1"
"2023-11-27 06:07:00","1"
"2023-11-27 07:07:00","1"
"2023-11-27 08:07:00","1"
"2023-11-27 09:07:00","1"
"2023-11-27 10:07:00","1"
"2023-11-27 11:07:00","1"
"2023-11-27 12:07:00","1"
"2023-11-27 13:07:00","1"
"2023-11-27 14:07:00","1"
"2023-11-27 15:07:00","1"
"2023-11-27 16:07:00","1"
"2023-11-27 17:07:00","1"
"2023-11-27 18:07:00","1"
"2023-11-27 19:07:00","88"
"2023-11-27 20:07:00","5"
"2023-11-27 21:07:00","4"
"2023-11-27 22:07:00","1"
"2023-11-27 23:07:00","1"
"2023-11-28 00:07:00","1"
"2023-11-28 01:07:00","1"
"2023-11-28 02:07:00","1"
"2023-11-28 03:07:00","1"
"2023-11-28 04:07:00","1"
"2023-11-28 05:07:00","1"
"2023-11-28 06:07:00","1"
"2023-11-28 07:07:00","1"
"2023-11-28 08:07:00","1"
"2023-11-28 09:07:00","1"
"2023-11-28 10:07:00","1"
"2023-11-28 11:07:00","1"
"2023-11-28 12:07:00","1"
"2023-11-28 13:07:00","1"
"2023-11-28 14:07:00","1"
"2023-11-28 15:07:00","1"
"2023-11-28 16:07:00","1"
"2023-11-28 17:07:00","1"
"2023-11-28 18:07:00","1"
"2023-11-28 19:07:00","82"
"2023-11-28 20:07:00","5"
"2023-11-28 21:07:00","7"
"2023-11-28 22:07:00","3"
"2023-11-28 23:07:00","1"
"2023-11-29 00:07:00","1"
"2023-11-29 01:07:00","1"
"2023-11-29 02:07:00","1"
"2023-11-29 03:07:00","1"
"2023-11-29 04:07:00","1"
"2023-11-29 05:07:00","1"
"2023-11-29 06:07:00","1"
"2023-11-29 07:07:00","1"
"2023-11-29 08:07:00","1"
"2023-11-29 09:07:00","1"
"2023-11-29 10:07:00","1"
"2023-11-29 11:07:00","1"
"2023-11-29 12:07:00","1"
"2023-11-29 13:07:00","1"
"2023-11-29 14:07:00","1"
"2023-11-29 15:07:00","1"
"2023-11-29 16:07:00","1"
"2023-11-29 17:07:00","1"
"2023-11-29 18:07:00","1"
"2023-11-29 19:07:00","65"
"2023-11-29 20:07:00","8"
"2023-11-29 21:07:00","4"
"2023-11-29 22:07:00","2"
"2023-11-29 23:07:00","2"
"2023-11-30 00:07:00","1"
"2023-11-30 01:07:00","1"
"2023-11-30 02:07:00","1"
"2023-11-30 03:07:00","1"
"2023-11-30 04:07:00","1"
"2023-11-30 05:07:00","1"
"2023-11-30 06:07:00","1"
"2023-11-30 07:07:00","1"
"2023-11-30 08:07:00","1"
"2023-11-30 09:07:00","1"
"2023-11-30 10:07:00","1"
"2023-11-30 11:07:00","1"
"2023-11-30 12:07:00","1"
"2023-11-30 13:07:00","1"
"2023-11-30 14:07:00","1"
"2023-11-30 15:07:00","1"
"2023-11-30 16:07:00","1"
"2023-11-30 17:07:00","1"
"2023-11-30 18:07:00","1"
"2023-11-30 19:07:00","88"
"2023-11-30 20:07:00","2"
